id,name,product_type,product_label,brand,owner,address,analysis_lat,analysis_lng,display_lat,display_lng,location_accuracy,location_area,is_active,published
,UMKM Demo Manado 01,A0004,Makanan Olahan,Dapur Rasa Demo Manado 01,Pemilik Demo 001,"Alamat Dummy No. 01, Kecamatan Wenang, Kota Manado, Sulawesi Utara",1.4643,124.8367,1.4643,124.8367,perkiraan_kecamatan,"Kecamatan Wenang, Kota Manado",true,true
,UMKM Demo Manado 02,A0007,"Roti, Kue & Biskuit",Kue Pesisir Demo Manado 02,Pemilik Demo 002,"Alamat Dummy No. 02, Kecamatan Sario, Kota Manado, Sulawesi Utara",1.4685,124.8367,1.4685,124.8367,perkiraan_kecamatan,"Kecamatan Sario, Kota Manado",true,true
,UMKM Demo Manado 03,A0011,Bumbu & Rempah,Bumbu Dapur Demo Manado 03,Pemilik Demo 003,"Alamat Dummy No. 03, Kecamatan Wanea, Kota Manado, Sulawesi Utara",1.4727,124.8367,1.4727,124.8367,perkiraan_kecamatan,"Kecamatan Wanea, Kota Manado",true,true
,UMKM Demo Manado 04,A0016,Jasa Boga / Katering,Katering Mapalus Demo Manado 04,Pemilik Demo 004,"Alamat Dummy No. 04, Kecamatan Mapanget, Kota Manado, Sulawesi Utara",1.4769,124.8367,1.4769,124.8367,perkiraan_kecamatan,"Kecamatan Mapanget, Kota Manado",true,true
,UMKM Demo Manado 05,A0002,Minyak & Lemak,Minyak Kelapa Demo Manado 05,Pemilik Demo 005,"Alamat Dummy No. 05, Kecamatan Wenang, Kota Manado, Sulawesi Utara",1.4811,124.8367,1.4811,124.8367,perkiraan_kecamatan,"Kecamatan Wenang, Kota Manado",true,true
,UMKM Demo Manado 06,A0005,Buah & Sayur Olahan,Manisan Buah Demo Manado 06,Pemilik Demo 006,"Alamat Dummy No. 06, Kecamatan Sario, Kota Manado, Sulawesi Utara",1.4853,124.8367,1.4853,124.8367,perkiraan_kecamatan,"Kecamatan Sario, Kota Manado",true,true
,UMKM Demo Manado 07,A0009,Ikan & Olahan Laut,Abon Cakalang Demo Manado 07,Pemilik Demo 007,"Alamat Dummy No. 07, Kecamatan Wanea, Kota Manado, Sulawesi Utara",1.4643,124.8421,1.4643,124.8421,perkiraan_kecamatan,"Kecamatan Wanea, Kota Manado",true,true
,UMKM Demo Manado 08,A0012,Kacang & Olahannya,Kacang Garing Demo Manado 08,Pemilik Demo 008,"Alamat Dummy No. 08, Kecamatan Mapanget, Kota Manado, Sulawesi Utara",1.4685,124.8421,1.4685,124.8421,perkiraan_kecamatan,"Kecamatan Mapanget, Kota Manado",true,true
,UMKM Demo Manado 09,B0001,Obat Tradisional / Jamu,Jamu Sehat Demo Manado 09,Pemilik Demo 009,"Alamat Dummy No. 09, Kecamatan Wenang, Kota Manado, Sulawesi Utara",1.4727,124.8421,1.4727,124.8421,perkiraan_kecamatan,"Kecamatan Wenang, Kota Manado",true,true
,UMKM Demo Manado 10,A0003,Susu & Olahannya,Susu Segar Demo Manado 10,Pemilik Demo 010,"Alamat Dummy No. 10, Kecamatan Sario, Kota Manado, Sulawesi Utara",1.4769,124.8421,1.4769,124.8421,perkiraan_kecamatan,"Kecamatan Sario, Kota Manado",true,true
,UMKM Demo Manado 11,A0006,Tepung & Olahannya,Tepung Lokal Demo Manado 11,Pemilik Demo 011,"Alamat Dummy No. 11, Kecamatan Wanea, Kota Manado, Sulawesi Utara",1.4811,124.8421,1.4811,124.8421,perkiraan_kecamatan,"Kecamatan Wanea, Kota Manado",true,true
,UMKM Demo Manado 12,A0010,Telur & Olahannya,Telur Gurih Demo Manado 12,Pemilik Demo 012,"Alamat Dummy No. 12, Kecamatan Mapanget, Kota Manado, Sulawesi Utara",1.4853,124.8421,1.4853,124.8421,perkiraan_kecamatan,"Kecamatan Mapanget, Kota Manado",true,true
,UMKM Demo Manado 13,A0014,Makanan Ringan,Camilan Nyiur Demo Manado 13,Pemilik Demo 013,"Alamat Dummy No. 13, Kecamatan Wenang, Kota Manado, Sulawesi Utara",1.4643,124.8475,1.4643,124.8475,perkiraan_kecamatan,"Kecamatan Wenang, Kota Manado",true,true
,UMKM Demo Manado 14,A0001,Daging & Olahannya,Daging Asap Demo Manado 14,Pemilik Demo 014,"Alamat Dummy No. 14, Kecamatan Sario, Kota Manado, Sulawesi Utara",1.4685,124.8475,1.4685,124.8475,perkiraan_kecamatan,"Kecamatan Sario, Kota Manado",true,true
,UMKM Demo Manado 15,A0004,Makanan Olahan,Dapur Rasa Demo Manado 15,Pemilik Demo 015,"Alamat Dummy No. 15, Kecamatan Wanea, Kota Manado, Sulawesi Utara",1.4727,124.8475,1.4727,124.8475,perkiraan_kecamatan,"Kecamatan Wanea, Kota Manado",true,true
,UMKM Demo Manado 16,A0007,"Roti, Kue & Biskuit",Kue Pesisir Demo Manado 16,Pemilik Demo 016,"Alamat Dummy No. 16, Kecamatan Mapanget, Kota Manado, Sulawesi Utara",1.4769,124.8475,1.4769,124.8475,perkiraan_kecamatan,"Kecamatan Mapanget, Kota Manado",true,true
,UMKM Demo Manado 17,A0011,Bumbu & Rempah,Bumbu Dapur Demo Manado 17,Pemilik Demo 017,"Alamat Dummy No. 17, Kecamatan Wenang, Kota Manado, Sulawesi Utara",1.4811,124.8475,1.4811,124.8475,perkiraan_kecamatan,"Kecamatan Wenang, Kota Manado",true,true
,UMKM Demo Manado 18,A0016,Jasa Boga / Katering,Katering Mapalus Demo Manado 18,Pemilik Demo 018,"Alamat Dummy No. 18, Kecamatan Sario, Kota Manado, Sulawesi Utara",1.4853,124.8475,1.4853,124.8475,perkiraan_kecamatan,"Kecamatan Sario, Kota Manado",true,true
,UMKM Demo Manado 19,A0002,Minyak & Lemak,Minyak Kelapa Demo Manado 19,Pemilik Demo 019,"Alamat Dummy No. 19, Kecamatan Wanea, Kota Manado, Sulawesi Utara",,,,,belum_terverifikasi,"Kecamatan Wanea, Kota Manado",true,true
,UMKM Demo Manado 20,A0005,Buah & Sayur Olahan,Manisan Buah Demo Manado 20,Pemilik Demo 020,"Alamat Dummy No. 20, Kecamatan Mapanget, Kota Manado, Sulawesi Utara",,,,,belum_terverifikasi,"Kecamatan Mapanget, Kota Manado",true,true
,UMKM Demo Minahasa 01,A0010,Telur & Olahannya,Telur Gurih Demo Minahasa 01,Pemilik Demo 021,"Alamat Dummy No. 01, Kecamatan Tondano Barat, Kabupaten Minahasa, Sulawesi Utara",1.2949,124.9076,1.2949,124.9076,perkiraan_kecamatan,"Kecamatan Tondano Barat, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 02,A0014,Makanan Ringan,Camilan Nyiur Demo Minahasa 02,Pemilik Demo 022,"Alamat Dummy No. 02, Kecamatan Tondano Timur, Kabupaten Minahasa, Sulawesi Utara",1.2991,124.9076,1.2991,124.9076,perkiraan_kecamatan,"Kecamatan Tondano Timur, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 03,A0001,Daging & Olahannya,Daging Asap Demo Minahasa 03,Pemilik Demo 023,"Alamat Dummy No. 03, Kecamatan Kawangkoan, Kabupaten Minahasa, Sulawesi Utara",1.3033,124.9076,1.3033,124.9076,perkiraan_kecamatan,"Kecamatan Kawangkoan, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 04,A0004,Makanan Olahan,Dapur Rasa Demo Minahasa 04,Pemilik Demo 024,"Alamat Dummy No. 04, Kecamatan Remboken, Kabupaten Minahasa, Sulawesi Utara",1.3075,124.9076,1.3075,124.9076,perkiraan_kecamatan,"Kecamatan Remboken, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 05,A0007,"Roti, Kue & Biskuit",Kue Pesisir Demo Minahasa 05,Pemilik Demo 025,"Alamat Dummy No. 05, Kecamatan Tondano Barat, Kabupaten Minahasa, Sulawesi Utara",1.3117,124.9076,1.3117,124.9076,perkiraan_kecamatan,"Kecamatan Tondano Barat, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 06,A0011,Bumbu & Rempah,Bumbu Dapur Demo Minahasa 06,Pemilik Demo 026,"Alamat Dummy No. 06, Kecamatan Tondano Timur, Kabupaten Minahasa, Sulawesi Utara",1.3159,124.9076,1.3159,124.9076,perkiraan_kecamatan,"Kecamatan Tondano Timur, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 07,A0016,Jasa Boga / Katering,Katering Mapalus Demo Minahasa 07,Pemilik Demo 027,"Alamat Dummy No. 07, Kecamatan Kawangkoan, Kabupaten Minahasa, Sulawesi Utara",1.2949,124.913,1.2949,124.913,perkiraan_kecamatan,"Kecamatan Kawangkoan, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 08,A0002,Minyak & Lemak,Minyak Kelapa Demo Minahasa 08,Pemilik Demo 028,"Alamat Dummy No. 08, Kecamatan Remboken, Kabupaten Minahasa, Sulawesi Utara",1.2991,124.913,1.2991,124.913,perkiraan_kecamatan,"Kecamatan Remboken, Kabupaten Minahasa",true,true
,UMKM Demo Minahasa 09,A0005,Buah & Sayur Olahan,Manisan Buah Demo Minahasa 09,Pemilik Demo 029,"Alamat Dummy No. 09, Kecamatan Tondano Barat, Kabupaten Minahasa, Sulawesi Utara",1.3033,124.913,1.3033,124.913,perkiraan_kecamatan,"Kecamatan Tondano Barat, Kabupaten Minahasa",true,true
